iter,iter of alpha,norm of gradient,loss
1,17,119813.2444,1.03E+06
2,16,172261.8214,8.50E+05
3,18,64995.16355,7.79E+05
4,17,81109.68409,7.57E+05
5,18,46328.29213,7.43E+05
6,17,82373.38559,7.40E+05
7,18,47133.68458,7.29E+05
8,18,23256.72948,7.19E+05
9,15,63876.41221,7.16E+05
10,18,17229.12482,6.96E+05
11,16,46872.21195,6.94E+05
12,18,28309.83501,6.90E+05
13,18,16193.15164,6.87E+05
14,17,23743.74137,6.86E+05
15,18,14800.27618,6.84E+05
16,17,21706.98447,6.83E+05
17,18,13890.54856,6.81E+05
18,17,20427.68941,6.80E+05
19,18,13189.45042,6.79E+05
20,17,19516.10305,6.78E+05
21,18,12624.46151,6.77E+05
22,17,18828.50616,6.76E+05
23,18,12153.89021,6.75E+05
24,17,18283.93663,6.74E+05
25,18,11752.16729,6.73E+05
26,17,17835.34255,6.72E+05
27,18,11402.32314,6.71E+05
28,17,17452.98104,6.71E+05
29,18,11092.45591,6.69E+05
30,17,17117.4647,6.69E+05
31,18,10814.03531,6.68E+05
32,17,16815.59215,6.68E+05
33,18,10560.83512,6.67E+05
34,17,16538.4646,6.66E+05
35,18,10328.13487,6.65E+05
36,17,16279.81887,6.65E+05
37,18,10112.48319,6.64E+05
38,17,16035.30119,6.64E+05
39,18,9911.020485,6.63E+05
40,17,15801.86113,6.63E+05
41,18,9721.793916,6.62E+05
42,17,15577.40596,6.62E+05
43,18,9543.004313,6.61E+05
44,17,15360.34296,6.61E+05
45,18,9373.411167,6.60E+05
46,17,15149.62541,6.60E+05
47,18,9211.973006,6.59E+05
48,17,14944.46783,6.59E+05
49,18,9057.767446,6.58E+05
50,17,14744.36792,6.58E+05
51,18,8910.175721,6.58E+05
52,17,14548.85778,6.57E+05
53,18,8768.521464,6.57E+05
54,17,14357.67924,6.57E+05
55,18,8632.298745,6.56E+05
56,17,14170.62558,6.56E+05
57,18,8501.189709,6.55E+05
58,17,13987.4752,6.55E+05
59,18,8374.729286,6.55E+05
60,17,13808.13391,6.55E+05
61,18,8252.654062,6.54E+05
62,17,13632.46321,6.54E+05
63,18,8134.616915,6.53E+05
64,17,13460.31429,6.53E+05
65,18,8020.427934,6.53E+05
66,17,13291.67587,6.53E+05
67,18,7909.818205,6.52E+05
68,17,13126.42077,6.52E+05
69,18,7802.687629,6.52E+05
70,17,12964.48854,6.51E+05
71,18,7698.670002,6.51E+05
72,17,12805.73621,6.51E+05
73,18,7597.763616,6.50E+05
74,17,12650.12785,6.50E+05
75,18,7499.765918,6.50E+05
76,17,12497.584,6.50E+05
77,18,7404.46004,6.49E+05
78,17,12348.01892,6.49E+05
79,18,7311.749298,6.49E+05
80,17,12201.34047,6.49E+05
81,18,7221.597332,6.48E+05
82,17,12057.44989,6.48E+05
83,18,7133.75618,6.48E+05
84,17,11916.32426,6.48E+05
85,18,7048.242411,6.48E+05
86,17,11777.85402,6.47E+05
87,18,6964.859081,6.47E+05
88,17,11641.96481,6.47E+05
89,18,6883.540608,6.47E+05
90,17,11508.53423,6.47E+05
91,18,6804.216352,6.46E+05
92,17,11377.56227,6.46E+05
93,18,6726.737356,6.46E+05
94,17,11248.91601,6.46E+05
95,18,6651.094107,6.45E+05
96,17,11122.58767,6.45E+05
97,18,6577.200277,6.45E+05
98,17,10998.3886,6.45E+05
99,18,6504.964157,6.45E+05
100,17,10876.39176,6.45E+05
101,18,6434.28859,6.44E+05
102,17,10756.39752,6.44E+05
103,18,6365.148234,6.44E+05
104,17,10638.42739,6.44E+05
105,18,6297.515497,6.43E+05
106,17,10522.36234,6.43E+05
107,18,6231.20251,6.43E+05
108,17,10408.17153,6.43E+05
109,18,6166.33167,6.43E+05
110,17,10295.7739,6.43E+05
111,18,6102.707016,6.42E+05
112,17,10185.13218,6.42E+05
113,18,6040.286444,6.42E+05
114,17,10076.15766,6.42E+05
115,18,5979.107664,6.42E+05
116,17,9968.806274,6.42E+05
117,18,5919.12603,6.41E+05
118,17,9863.031215,6.41E+05
119,18,5860.210326,6.41E+05
120,17,9758.78287,6.41E+05
121,18,5802.308194,6.41E+05
122,17,9656.008743,6.41E+05
123,18,5745.535945,6.40E+05
124,17,9554.653379,6.40E+05
125,18,5689.667888,6.40E+05
126,17,9454.658292,6.40E+05
127,18,5634.818267,6.40E+05
128,17,9356.014489,6.40E+05
129,18,5580.840725,6.40E+05
130,17,9258.605681,6.40E+05
131,18,5527.760811,6.39E+05
132,17,9162.524975,6.39E+05
133,18,5475.514739,6.39E+05
134,17,9067.59747,6.39E+05
135,18,5424.126606,6.39E+05
136,17,8973.859763,6.39E+05
137,18,5373.621025,6.38E+05
138,17,8881.238688,6.38E+05
139,18,5323.745764,6.38E+05
140,17,8789.713551,6.38E+05
141,18,5274.70533,6.38E+05
142,17,8699.205783,6.38E+05
143,18,5226.334876,6.38E+05
144,17,8609.804638,6.38E+05
145,18,5178.748217,6.37E+05
146,17,8521.371667,6.37E+05
147,18,5131.77534,6.37E+05
148,17,8433.878966,6.37E+05
149,18,5085.433252,6.37E+05
150,17,8347.356104,6.37E+05
151,18,5039.739354,6.37E+05
152,17,8261.773974,6.37E+05
153,18,4994.711437,6.36E+05
154,17,8177.041733,6.36E+05
155,18,4950.268247,6.36E+05
156,17,8093.186073,6.36E+05
157,18,4906.425675,6.36E+05
158,17,8010.173081,6.36E+05
159,18,4863.098755,6.36E+05
160,17,7927.967142,6.36E+05
161,18,4820.301393,6.35E+05
162,17,7846.530896,6.35E+05
163,18,4778.150829,6.35E+05
164,17,7765.888557,6.35E+05
165,18,4736.456502,6.35E+05
166,17,7686.065114,6.35E+05
167,18,4695.230569,6.35E+05
168,17,7606.892239,6.35E+05
169,18,4654.591219,6.34E+05
170,17,7528.455835,6.34E+05
171,18,4614.340625,6.34E+05
172,17,7450.779161,6.34E+05
173,18,4574.59664,6.34E+05
174,17,7373.752728,6.34E+05
175,18,4535.372584,6.34E+05
176,17,7297.397129,6.34E+05
177,18,4496.572606,6.34E+05
178,17,7221.665487,6.33E+05
179,18,4458.207777,6.33E+05
180,17,7146.646507,6.33E+05
181,18,4420.289427,6.33E+05
182,17,7072.223681,6.33E+05
183,18,4382.716845,6.33E+05
184,17,6998.416028,6.33E+05
185,18,4345.612261,6.33E+05
186,17,6925.243216,6.33E+05
187,18,4308.87354,6.32E+05
188,17,6852.653757,6.32E+05
189,18,4272.625317,6.32E+05
190,17,6780.5938,6.32E+05
191,18,4236.764013,6.32E+05
192,17,6709.227127,6.32E+05
193,18,4201.182381,6.32E+05
194,17,6638.353671,6.32E+05
195,18,4166.005735,6.32E+05
196,17,6568.064336,6.32E+05
197,18,4131.244418,6.31E+05
198,17,6498.302335,6.31E+05
199,18,4096.909003,6.31E+05
200,17,6429.084835,6.31E+05
201,18,4062.889147,6.31E+05
202,17,6360.429613,6.31E+05
203,18,4029.192842,6.31E+05
204,17,6292.276852,6.31E+05
205,18,3995.828275,6.31E+05
206,17,6224.643056,6.31E+05
207,18,3962.803823,6.31E+05
208,17,6157.545327,6.30E+05
209,18,3930.253295,6.30E+05
210,17,6091.001381,6.30E+05
211,18,3897.936031,6.30E+05
212,17,6024.947874,6.30E+05
213,18,3865.985197,6.30E+05
214,17,5959.401114,6.30E+05
215,18,3834.281589,6.30E+05
216,17,5894.378008,6.30E+05
217,18,3803.090236,6.30E+05
218,17,5829.81165,6.30E+05
219,18,3772.032412,6.29E+05
220,17,5765.717386,6.29E+05
221,18,3741.37456,6.29E+05
222,17,5702.197452,6.29E+05
223,18,3711.126592,6.29E+05
224,17,5639.096694,6.29E+05
225,18,3681.031201,6.29E+05
226,17,5576.517603,6.29E+05
227,18,3651.361762,6.29E+05
228,17,5514.477941,6.29E+05
229,18,3621.992858,6.29E+05
230,17,5452.905857,6.28E+05
231,18,3592.931856,6.28E+05
232,17,5391.726084,6.28E+05
233,18,3564.186289,6.28E+05
234,17,5331.136779,6.28E+05
235,18,3535.76385,6.28E+05
236,17,5271.06493,6.28E+05
237,18,3507.532073,6.28E+05
238,17,5211.339542,6.28E+05
239,18,3479.778496,6.28E+05
240,17,5152.259258,6.28E+05
241,18,3452.22952,6.28E+05
242,17,5093.556643,6.27E+05
243,18,3425.03379,6.27E+05
244,17,5035.440402,6.27E+05
245,18,3398.054944,6.27E+05
246,17,4977.733317,6.27E+05
247,18,3371.44418,6.27E+05
248,17,4920.549815,6.27E+05
249,18,3345.063147,6.27E+05
250,17,4863.807167,6.27E+05
251,18,3319.065619,6.27E+05
252,17,4807.623363,6.27E+05
253,18,3293.460675,6.27E+05
254,17,4751.914648,6.26E+05
255,18,3267.956337,6.26E+05
256,17,4696.802721,6.26E+05
257,18,3242.858545,6.26E+05
258,17,4642.096787,6.26E+05
259,18,3218.023866,6.26E+05
260,17,4587.91865,6.26E+05
261,18,3193.458439,6.26E+05
262,17,4534.28723,6.26E+05
263,18,3169.323827,6.26E+05
264,17,4481.11232,6.26E+05
265,18,3145.316995,6.26E+05
266,16,9156.45286,6.26E+05
267,18,4893.970758,6.25E+05
268,18,3342.266333,6.25E+05
269,17,5079.429082,6.25E+05
270,18,3412.075946,6.25E+05
271,17,5282.53767,6.25E+05
272,18,3490.370594,6.25E+05
273,17,5504.65123,6.25E+05
274,18,3578.381623,6.25E+05
275,17,5747.934058,6.25E+05
276,18,3677.151572,6.25E+05
277,17,6014.809536,6.25E+05
278,18,3788.177879,6.25E+05
279,17,6308.291835,6.25E+05
280,18,3913.310575,6.24E+05
281,17,6631.825844,6.24E+05
282,18,4054.27888,6.24E+05
283,17,6989.478567,6.24E+05
284,18,4213.582523,6.24E+05
285,17,7386.224229,6.24E+05
286,18,4394.044756,6.24E+05
287,18,3053.20792,6.24E+05
